,label,price
0,2019-04-01__3000__30,1093.382907286154
1,2019-04-01__3000__90,1154.095068554394
2,2019-04-01__4000__30,251.26970958464835
3,2019-04-01__4000__90,459.65779980239404
4,2019-04-01__5000__30,25.57853465396397
5,2019-04-01__5000__90,149.33377054488597
6,2019-10-01__7000__30,1683.3371516096668
7,2019-10-01__7000__90,2150.9136782014625
8,2019-10-01__8000__30,1027.5288781975569
9,2019-10-01__8000__90,1614.7894105830364
10,2019-10-01__9000__30,578.6638617958497
11,2019-10-01__9000__90,1203.0870093962203
12,2020-02-01__9000__30,1078.8945271519488
13,2020-02-01__9000__90,1594.713301996023
14,2020-02-01__10000__30,528.3563145012504
15,2020-02-01__10000__90,1121.7790306194247
16,2020-02-01__11000__30,257.8718576758333
17,2020-02-01__11000__90,795.9703977791073
